Node,x,y,Evacuees
A,98.9901468,18.79024963,137
B,98.99138596,18.79006661,94
C,98.99196067,18.78999647,45
D,98.99266378,18.78992772,18
E,98.9933156,18.78986471,18
F,98.99325423,18.78905669,28
G,98.99263212,18.78925975,21
H,98.99222059,18.78914519,83
I,98.99019057,18.78922281,240
J,98.99029263,18.78799132,158
K,98.99079526,18.78793931,80
L,98.99137507,18.78789253,115
M,98.99217504,18.78782036,68
N,98.99292394,18.78778698,30
O,98.99315907,18.78776943,16
P,98.99307734,18.78653518,22
Q,98.99191602,18.7864307,43
R,98.99126927,18.7864395,38
S,98.99112976,18.78608168,24
T,98.99036918,18.7861892,51
U,98.99034658,18.78661238,43
V,98.99031817,18.78712309,83
